List,Actual R²,Shuffle Mean R²,Shuffle Std,Shuffle Min,Shuffle Max,p-value
Dict (296),0.4582,0.4793,0.0121,0.4671,0.4981,1.0
LLM (595),0.4113,0.4069,0.0162,0.3795,0.4217,0.7128712871287128
