List,Actual R²,Shuffle Mean R²,Shuffle Std,Shuffle Min,Shuffle Max,p-value
Dict (296),0.656,0.6924,0.0454,0.6248,0.7941,0.6237623762376238
LLM (595),0.6087,0.6263,0.0003,0.6253,0.6269,1.0
